### METADATA ###
## USER ##
# id=whoppingpochard#2514
# printer=voron_v2_350
# measure_type=nozzle_pin
# measure_gcode="G28 Z"
# timestamp=2021-06-13_20-04-43
## SCRIPT ##
# data_structure=3
## Z_AXIS ##
# step_dist=0.0125
# max_z=340.0
# homing_speed=3.0
## FRAME_EXPANSION_COMPENSATION ##
# pullup_resistor=4700.0
# sensor_pin=PC2
# z_stepper=stepper_z
# coeff=23.4
# gantry_factor=1.0
# frame_z_length=530.0
# max_z_offset=99999999.0
# sensor_type=ntc_50k
# inline_resistor=0.0
# smooth_time=2.0
# min_temp=0.0
# gcode_id=frame
# max_comp_z=0.0
# max_temp=100.0
### METADATA END ###
sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
0,2021/06/13-20:05:00,-3051,22.06776288614702,23.630472222923515,24.904547976588585,105.0,25.042287881590244,100.0
0,2021/06/13-20:05:04,-3047,22.101699778965273,24.239641555678475,27.39738016414536,105.0,34.509349310251615,100.0
0,2021/06/13-20:05:09,-3044,22.060396691797933,25.206067011945947,30.801747673049306,105.0,46.92166450589097,100.0
1,2021/06/13-20:06:00,-3021,22.0351223801854,26.42113747067168,60.924544239303714,105.0,100.71068054844883,100.0
1,2021/06/13-20:06:04,-3020,22.0817772767099,26.244341544842143,62.278493211470526,105.0,100.4803783791165,100.0
1,2021/06/13-20:06:08,-3019,21.973504888972997,25.947246957220102,63.68116973154539,105.0,100.40502445346391,100.0
2,2021/06/13-20:07:00,-3012,22.08278859718028,25.722390132169664,76.87812630891356,105.0,100.10707378934127,100.0
2,2021/06/13-20:07:04,-3011,22.074892774828655,25.556364875247255,77.7856494993597,105.0,100.20076209310939,100.0
2,2021/06/13-20:07:08,-3010,22.100394700086845,25.977095047158173,78.61423001747234,105.0,99.83677299194594,100.0
3,2021/06/13-20:08:00,-3002,22.180003082747877,26.08131966870036,88.99779874488759,105.0,99.97350108354925,100.0
3,2021/06/13-20:08:04,-3002,22.146760446150104,26.244341544842143,89.76269738678664,105.0,99.85723136319011,100.0
3,2021/06/13-20:08:08,-3002,22.19614861465688,26.332875021541213,90.53703905182483,105.0,100.29254269315508,100.0
4,2021/06/13-20:09:00,-2996,22.330453209802954,26.945128714652697,99.89870249668655,105.0,100.01422549999316,100.0
4,2021/06/13-20:09:05,-2995,22.274645755627652,26.771515818841976,100.60644994366885,105.0,100.07791877181594,100.0
4,2021/06/13-20:09:09,-2995,22.346127577256365,26.640620640352438,101.23945720762168,105.0,100.01948578382563,100.0
5,2021/06/13-20:10:01,-2992,22.444317579539245,27.459838331828053,105.22107837568835,105.0,99.97943766969061,100.0
5,2021/06/13-20:10:05,-2992,22.46477495652495,27.601218035575357,105.32629057937466,105.0,100.1470659540024,100.0
5,2021/06/13-20:10:09,-2992,22.506751594258198,27.50232397476566,105.33359578405496,105.0,100.11962672101878,100.0
6,2021/06/13-20:11:01,-2990,22.608015218231927,28.035215899492073,105.22978585814955,105.0,100.19130836606337,100.0
6,2021/06/13-20:11:05,-2991,22.67476076942274,28.20151230091568,105.21653358721288,105.0,99.89411869892639,100.0
6,2021/06/13-20:11:09,-2990,22.670789954396078,28.104620006475102,105.24995933470277,105.0,99.89123500385246,100.0
7,2021/06/13-20:12:01,-2990,22.90953942807037,28.776298976194198,105.10801804952197,105.0,100.08907050090524,100.0
7,2021/06/13-20:12:05,-2991,22.919077042904462,29.193533445754554,105.02248312707671,105.0,99.99360269524979,100.0
7,2021/06/13-20:12:09,-2990,22.957634088079836,29.12663055929073,105.00741386859879,105.0,100.00838144162392,100.0
8,2021/06/13-20:13:01,-2992,23.18223971595184,30.07594708365508,104.89822967657484,105.0,100.01469677545833,100.0
8,2021/06/13-20:13:05,-2992,23.217120897880196,29.789039334398865,104.91223757937587,105.0,100.09084232018402,100.0
8,2021/06/13-20:13:09,-2992,23.207829931374736,29.971931706977216,105.00317265027103,105.0,99.85737196712012,100.0
9,2021/06/13-20:14:01,-2995,23.501149329474252,30.78156955464823,105.0182863059534,105.0,99.98572276874836,100.0
9,2021/06/13-20:14:05,-2995,23.471869484792226,30.730798774599464,105.07599291081168,105.0,100.01469049048218,100.0
9,2021/06/13-20:14:09,-2995,23.516490871141634,30.629003433592004,105.1307010487387,105.0,100.08458525410408,100.0
10,2021/06/13-20:15:01,-2998,23.84211029017691,31.582683190331522,104.95397685372212,105.0,100.08487173308622,100.0
10,2021/06/13-20:15:05,-2998,23.852259487507034,31.55796116408692,105.09004216067895,105.0,100.03726450873472,100.0
10,2021/06/13-20:15:09,-2998,23.878633681037417,31.59503679606064,105.07952913548921,105.0,99.94053239412513,100.0
11,2021/06/13-20:16:01,-3001,24.1633796973605,32.423756678165375,105.07846385237113,105.0,100.03860540227868,100.0
11,2021/06/13-20:16:05,-3002,24.18984374627682,32.109492975549244,104.96388984345253,105.0,99.94022842546916,100.0
11,2021/06/13-20:16:10,-3003,24.254865034675216,32.363566370103,104.8921792107846,105.0,100.07145655230508,100.0
12,2021/06/13-20:17:02,-3006,24.48843365596401,32.81813997768751,105.28155499239583,105.0,100.04379770646422,100.0
12,2021/06/13-20:17:06,-3006,24.522295585509713,32.99578257666286,105.25283999476507,105.0,100.37869945423846,100.0
12,2021/06/13-20:17:10,-3007,24.546167384447525,33.054775081827245,105.12777605730652,105.0,99.85232598845771,100.0
13,2021/06/13-20:18:02,-3012,24.8128293745752,33.48793373597994,105.07538112954092,105.0,99.9667622065017,100.0
13,2021/06/13-20:18:06,-3012,24.828545338187816,33.41809265172435,105.00435297927525,105.0,99.91157694898574,100.0
13,2021/06/13-20:18:10,-3012,24.86854361808821,33.54601759957103,105.01378728356441,105.0,100.14939293425029,100.0
14,2021/06/13-20:19:02,-3016,25.19553730642056,34.20080357087261,105.1288962597749,105.0,99.85672057770557,100.0
14,2021/06/13-20:19:06,-3016,25.16527917632846,34.05264210709777,105.1151020087067,105.0,100.05579757800841,100.0
